cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
G9366,One high-risk medication not ordered,1high risk no ord,Z2, Undefined codes
G9367,At least two orders for the same high-risk medication,>= 2 same hi-rsk med ord,Z2, Undefined codes
G9368,At least two orders for the same high-risk medications not ordered,>= 2 same hi-rsk med not ord,Z2, Undefined codes
G9369,Individual filled at least two prescriptions for any antipsychotic medication and had a pdc of 0.8 or greater,Fill 2 rx antipsych,Z2, Undefined codes
G9370,Individual who did not fill at least two prescriptions for any antipsychotic medication or did not have a pdc of 0.8 or greater,Not fill 2 rx antipsych,Z2, Undefined codes
G9376,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month) following only one surgery,Contd ret attach at 6mth f/u,Z2, Undefined codes
G9377,Patient did not have the retina attached after 6 months following only one surgery,No ret attach after 6mt,Z2, Undefined codes
G9378,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month),Contd ret attach f/u vis,Z2, Undefined codes
G9379,Patient did not achieve flat retinas six months post surgery,No acheive flat ret 6mth,Z2, Undefined codes
G9380,Patient offered assistance with end of life issues during the measurement period,Off assis eol iss,Z2, Undefined codes
G9381,"Documentation of medical reason(s) for not offering assistance with end of life issues (e.g., patient in hospice care, patient in terminal phase) during the measurement period",Doc med reas no offer eol,Z2, Undefined codes
G9382,Patient not offered assistance with end of life issues during the measurement period,No off assis eol,Z2, Undefined codes
G9383,Patient received screening for hcv infection within the 12 month reporting period,Recd scrn hcv infec,Z2, Undefined codes
G9384,"Documentation of medical reason(s) for not receiving annual screening for hcv infection (e.g., decompensated cirrhosis indicating advanced disease [i.e., ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular carcinoma, waitlist for organ transplant, limited life expectancy, other medical reasons)",Doc med rsn no hcv scrn,Z2, Undefined codes
G9385,"Documentation of patient reason(s) for not receiving annual screening for hcv infection (e.g., patient declined, other patient reasons)",Doc pt reas not rec hcv srn,Z2, Undefined codes
G9386,"Screening for hcv infection not received within the 12 month reporting period, reason not given",Scrn hcv infec not recd,Z2, Undefined codes
G9389,Unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery,Unpln rup post cap,Z2, Undefined codes
G9390,No unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery,No unpln rup post cap,Z2, Undefined codes
G9391,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit",Achv refrac +1d,Z2, Undefined codes
G9392,"Patient does not achieve refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit",Not achv refrac +1d,Z2, Undefined codes
G9393,Patient with an initial phq-9 score greater than nine who achieves remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score of less than five,Ini phq9 >9 remiss <5,Z2, Undefined codes
G9394,"Patient who had a diagnosis of bipolar disorder or personality disorder, death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement or assessment period","Dx bipol, death, nhres, hosp",Z2, Undefined codes
G9395,Patient with an initial phq-9 score greater than nine who did not achieve remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score greater than or equal to five,Ini phq9 >9 no remiss >=5,Z2, Undefined codes
G9396,Patient with an initial phq-9 score greater than nine who was not assessed for remission at twelve months (+/- 30 days),Ini phq9 >9 not assess,Z2, Undefined codes
G9399,"Documentation in the patient record of a discussion between the physician/clinician and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward the outcome of the treatment",Doc disc tx choices,Z2, Undefined codes
G9400,Documentation of medical or patient reason(s) for not discussing treatment options; medical reasons: patient is not a candidate for treatment due to advanced physical or mental health comorbidity (including active substance use); currently receiving antiviral treatment; successful antiviral treatment (with sustained virologic response) prior to reporting period; other documented medical reasons; patient reasons: patient unable or unwilling to participate in the discussion or other patient reasons,Doc reas no disc tx opt,Z2, Undefined codes
G9401,"No documentation of a discussion in the patient record of a discussion between the physician or other qualfied healthcare professional and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward treatment",No disc tx choices,Z2, Undefined codes
G9402,Patient received follow-up on the date of discharge or within 30 days after discharge,Recd f/u w/in 30d disch,Z2, Undefined codes
G9403,"Clinician documented reason patient was not able to complete 30 day follow-up from acute inpatient setting discharge (e.g., patient death prior to follow-up visit, patient non-compliant for visit follow-up)",Doc reas no 30 day f/u,Z2, Undefined codes
G9404,Patient did not receive follow-up on the date of discharge or within 30 days after discharge,No 30 day f/u,Z2, Undefined codes
G9405,Patient received follow-up within 7 days after discharge,Recd f/u w/in 7d dc,Z2, Undefined codes
G9406,"Clinician documented reason patient was not able to complete 7 day follow-up from acute inpatient setting discharge (i.e patient death prior to follow-up visit, patient non-compliance for visit follow-up)",Doc reas no 7d f/u,Z2, Undefined codes
G9407,Patient did not receive follow-up on or within 7 days after discharge,No 7d f/u,Z2, Undefined codes
G9408,Patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days,Card tamp w/in 30d,Z2, Undefined codes
G9409,Patients without cardiac tamponade and/or pericardiocentesis occurring within 30 days,No card tamp e/in 30d,Z2, Undefined codes
G9410,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",Admit w/in 180d req remov,Z2, Undefined codes
G9411,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",No admit w/in 180d req remov,Z2, Undefined codes
G9412,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",Admit w/in 180d req surg rev,Z2, Undefined codes
G9413,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",No admit req surg rev,Z2, Undefined codes
G9414,"Patient had one dose of meningococcal vaccine (serogroups a, c, w, y) on or between the patient's 11th and 13th birthdays",1dose menig vac btwn 11 & 13,Z2, Undefined codes
G9415,Patient did not have one dose of meningococcal vaccine on or between the patient's 11th and 13th birthdays,No 1dose meni vac btwn 11&13,Z2, Undefined codes
G9416,"Patient had one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays",Pt 1 tdap betw 10-13 yrs,Z2, Undefined codes
G9417,"Patient did not have one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays",Pt not 1 tdap betw 10-13 yrs,Z2, Undefined codes
G9418,Primary non-small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,Lungcx bx rpt docs class,Z2, Undefined codes
G9419,"Documentation of medical reason(s) for not including the histological type or nsclc-nos classification with an explanation (e.g., biopsy taken for other purposes in a patient with a history of primary non-small cell lung cancer or other documented medical reasons)",Med reas not incl histo type,Z2, Undefined codes
G9420,Specimen site other than anatomic location of lung or is not classified as primary non-small cell lung cancer,Spec site no lung,Z2, Undefined codes
G9421,Primary non-small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,Lung cx bx rpt no doc class,Z2, Undefined codes
G9422,"Primary lung carcinoma resection report documents pt category, pn category and for non-small cell lung cancer, histologic type (squamous cell carcinoma, adenocarcinoma and not nsclc-nos)",Rpt doc class histo type,Z2, Undefined codes
G9423,"Documentation of medical reason for not including pt category, pn category and histologic type [for patient with appropriate exclusion criteria (e.g., metastatic disease, benign tumors, malignant tumors other than carcinomas, inadequate surgical specimens)]",Med reas rpt no histo type,Z2, Undefined codes
G9424,"Specimen site other than anatomic location of lung, or classified as nsclc-nos",Site no lung or lung cx,Z2, Undefined codes
G9425,"Primary lung carcinoma resection report does not document pt category, pn category and for non-small cell lung cancer, histologic type (squamous cell carcinoma, adenocarcinoma)",Spec rpt no doc class histo,Z2, Undefined codes
G9426,Improvement in median time from ed arrival to initial ed oral or parenteral pain medication administration performed for ed admitted patients,Impr med time edarr pain med,Z2, Undefined codes
G9427,Improvement in median time from ed arrival to initial ed oral or parenteral pain medication administration not performed for ed admitted patients,No impro med time pain med,Z2, Undefined codes
G9428,"Pathology report includes the pt category and a statement on thickness, ulceration and mitotic rate",Patho rpt incl pt ctg,Z2, Undefined codes
G9429,"Documentation of medical reason(s) for not including pt category and a statement on thickness,  ulceration and mitotic rate (e.g., negative skin biopsies in a patient with a history of melanoma or other documented medical reasons)",Doc med rsn no pt cat,Z2, Undefined codes
G9430,Specimen site other than anatomic cutaneous location,Spec site no cutaneous,Z2, Undefined codes
G9431,"Pathology report does not include the pt category and a statement on thickness, ulceration and mitotic rate",Patho rpt no pt ctg,Z2, Undefined codes
G9432,"Asthma well-controlled based on the act, c-act, acq, or ataq score and results documented",Asth controlled,Z2, Undefined codes
G9433,"Death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement period","Death, nhres, hospice",Z2, Undefined codes
G9434,"Asthma not well-controlled based on the act, c-act, acq, or ataq score, or specified asthma control tool not used, reason not given",Asth not controlled,Z2, Undefined codes
G9435,Aspirin prescribed at discharge,Asp presc disch,Z2, Undefined codes
G9436,"Aspirin not prescribed for documented reasons (e.g., allergy, medical intolerance, history of bleed)",Asp not presc doc reas,Z2, Undefined codes
G9437,Aspirin not prescribed at discharge,Asp not presc disch,Z2, Undefined codes
G9438,P2y inhibitor prescribed at discharge,P2y inhib presc,Z2, Undefined codes
G9439,"P2y inhibitor not prescribed for documented reasons (e.g., allergy, medical intolerance, history of bleed)",P2y inhib not presc doc reas,Z2, Undefined codes
G9440,P2y inhibitor not prescribed at discharge,P2y inhib not presc,Z2, Undefined codes
G9441,Statin prescribed at discharge,Statin presc disch,Z2, Undefined codes
G9442,"Statin not prescribed for documented reasons (e.g., allergy, medical intolerance)",Statin not presc doc reas,Z2, Undefined codes
G9443,Statin not prescribed at discharge,Statin not presc disch,Z2, Undefined codes
G9448,Patients who were born in the years 1945?1965,Born 1945-1965,Z2, Undefined codes
G9449,History of receiving blood transfusions prior to 1992,Hx bld transf b/f 1992,Z2, Undefined codes
G9450,History of injection drug use,Hx injec drug use,Z2, Undefined codes
G9451,Patient received one-time screening for hcv infection,1x scrn hcv infect,Z2, Undefined codes
G9452,"Documentation of medical reason(s) for not receiving one-time screening for hcv infection (e.g., decompensated cirrhosis indicating advanced disease [ie, ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular carcinoma, waitlist for organ transplant, limited life expectancy, other medical reasons)",Doc med reas no scrn hcv,Z2, Undefined codes
G9453,"Documentation of patient reason(s) for not receiving one-time screening for hcv infection (e.g., patient declined, other patient reasons)",Pt reas no hcv infect,Z2, Undefined codes
G9454,"One-time screening for hcv infection not received within 12-month reporting period and no documentation of prior screening for hcv infection, reason not given",No scr hcv inf 12 mth rp,Z2, Undefined codes
G9455,"Patient underwent abdominal imaging with ultrasound, contrast enhanced ct or contrast mri for hcc","Abd imag w/us, ct or mri",Z2, Undefined codes
G9456,"Documentation of medical or patient reason(s) for not ordering or performing screening for hcc. medical reason: comorbid medical conditions with expected survival < 5 years, hepatic decompensation and not a candidate for liver transplantation, or other medical reasons; patient reasons: patient declined or other patient reasons (e.g., cost of tests, time related to accessing testing equipment)",Doc med pt reas no hcc scrn,Z2, Undefined codes
G9457,Patient did not undergo abdominal imaging and did not have a documented reason for not undergoing abdominal imaging in the submission period,Pt no abd img no doc rsn,Z2, Undefined codes
G9458,"Patient documented as tobacco user and received tobacco cessation intervention (must include at least one of the following: advice given to quit smoking or tobacco use, counseling on the benefits of quitting smoking or tobacco use, assistance with or referral to external smoking or tobacco cessation support programs, or current enrollment in smoking or tobacco use cessation program) if identified as a tobacco user",Tob user recd cess interv,Z2, Undefined codes
G9459,Currently a tobacco non-user,Tob non-user,Z2, Undefined codes
G9460,"Tobacco assessment or tobacco cessation intervention not performed, reason not given",No tob assess or cess inter,Z2, Undefined codes
G9463,I intend to report the sinusitis measures group,Sinusitis intent,Z2, Undefined codes
G9464,All quality actions for the applicable measures in the sinusitis measures group have been performed for this patient,Sinusitis comp,Z2, Undefined codes
G9465,I intend to report the acute otitis externa (aoe) measures group,Aoe intent,Z2, Undefined codes
G9466,All quality actions for the applicable measures in the aoe measures group have been performed for this patient,Aoe comp,Z2, Undefined codes
G9467,Patient who have received or are receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills within the last twelve months,Recd cortico >=10mg/day >60d,Z2, Undefined codes
G9468,Patient not receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills,No recd cortico>=10mg/d >60d,Z2, Undefined codes
G9469,Patients who have received or are receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 90 or greater consecutive days or a single prescription equating to 900 mg prednisone or greater for all fills,Rec cortico>90d or 1rx 900mg,Z2, Undefined codes
G9470,Patients not receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills,No rec cortico>60d 1rx 600mg,Z2, Undefined codes
G9471,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not ordered or documented",W/in 2yr dxa not order,Z2, Undefined codes
G9472,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not ordered and documented, no review of systems and no medication history or pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribed",No dxa no med hx no rv sx,Z2, Undefined codes
G9473,"Services performed by chaplain in the hospice setting, each 15 minutes",Chap services at hospice,M5D, Specialist_other
G9474,"Services performed by dietary counselor in the hospice setting, each 15 minutes",Diet counsel at hospice,M5D, Specialist_other
G9475,"Services performed by other counselor in the hospice setting, each 15 minutes",Other counselor at hospice,M5D, Specialist_other
G9476,"Services performed by volunteer in the hospice setting, each 15 minutes",Volun service at hospice,M5D, Specialist_other
G9477,"Services performed by care coordinator in the hospice setting, each 15 minutes",Care coord at hospice,M5D, Specialist_other
G9478,"Services performed by other qualified therapist in the hospice setting, each 15 minutes",Othe therapist at hospice,M5D, Specialist_other
G9479,"Services performed by qualified pharmacist in the hospice setting, each 15 minutes",Pharmacist at hospice,M5D, Specialist_other
G9480,Admission to medicare care choice model program (mccm),Admission to mccm,M5D, Specialist_other
G9481,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a problem focused history;  a problem focused examination; and straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 10mins,Z2, Undefined codes
G9482,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: an expanded problem focused history; an expanded problem focused examination;  straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 20 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 20mins,Z2, Undefined codes
G9483,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a detailed history; a detailed examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate severity.  typically, 30 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 30mins,Z2, Undefined codes
G9484,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 45 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 45mins,Z2, Undefined codes
G9485,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 60 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 60mins,Z2, Undefined codes
G9486,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a problem focused history; a problem focused examination; straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 10mins,Z2, Undefined codes
G9487,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: an expanded problem focused history; an expanded problem focused examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 15 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 15mins,Z2, Undefined codes
G9488,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a detailed history; a detailed examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 25 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 25mins,Z2, Undefined codes
G9489,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved coms innovation center demonstration project, which requires at least 2 of the following 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 40 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 40mins,Z2, Undefined codes
G9490,"Cms innovation center models, home visit for patient assessment performed by clinical staff for an individual not considered homebound, including, but not necessarily limited to patient assessment of clinical status, safety/fall prevention, functional status/ambulation, medication reconciliation/management, compliance with orders/plan of care, performance of activities of daily living, and ensuring beneficiary connections to community and other services.  (for use only in medicare-approved cms innovation center models); may not be billed for a 30 day period covered by a transitional care management code",Cmmi mod home visit,Z2, Undefined codes
G9496,"Documentation of reason for not detecting adenoma(s) or other neoplasm. (e.g., neoplasm detected is only diagnosed as traditional serrated adenoma, sessile serrated polyp, or sessile serrated adenoma",Doc rsn no adeno/neopl detec,Z2, Undefined codes
G9497,Received instruction from the anesthesiologist or proxy prior to the day of surgery to abstain from smoking on the day of surgery,Rec inst no smoke day surg,Z2, Undefined codes
G9498,Antibiotic regimen prescribed,Abx reg prescribed,Z2, Undefined codes
G9499,Patient did not start or is not receiving antiviral treatment for hepatitis c during the measurement period,No start/rec antvir tx hep c,Z2, Undefined codes
G9500,"Radiation exposure indices, or exposure time and number of fluorographic images in final report for procedures using fluoroscopy, documented",Rad expos ind/exp tm doc,Z2, Undefined codes
G9501,"Radiation exposure indices, or exposure time and number of fluorographic images not documented in final report for procedure using fluoroscopy, reason not given",Rad expos ind/exp tm no doc,Z2, Undefined codes
G9502,"Documentation of medical reason for not performing foot exam (i.e., patients who have had either a bilateral amputation above or below the knee, or both a left and right amputation above or below the knee before or during the measurement period)",Med reas no perf foot exam,Z2, Undefined codes
G9503,Patient taking tamsulosin hydrochloride,Pt tk tams hcl,Z2, Undefined codes
G9504,"Documented reason for not assessing hepatitis b virus (hbv) status (e.g., patient not initiating anti-tnf therapy, patient declined) prior to initiating anti-tnf therapy",Doc rsn hep b stat not asses,Z2, Undefined codes
G9505,Antibiotic regimen prescribed within 10 days after onset of symptoms for documented medical reason,Abx pres w/in 10 dys of symp,Z2, Undefined codes
G9506,Biologic immune response modifier prescribed,Bio imm resp mod presc,Z2, Undefined codes
G9507,"Documentation that the patient is on a statin medication or has documentation of a valid contraindication or exception to statin medications; contraindications/exceptions that can be defined by diagnosis codes include pregnancy during the measurement period, active liver disease, rhabdomyolysis, end stage renal disease on dialysis and heart failure; provider documented contraindications/exceptions include breastfeeding during the measurement period, woman of child-bearing age not actively taking birth control, allergy to statin, drug interaction (hiv protease inhibitors, nefazodone, cyclosporine, gemfibrozil, and danazol) and intolerance (with supporting documentation of trying a statin at least once within the last 5 years or diagnosis codes for myostitis or toxic myopathy related to drugs)",Doc reas on statin or contra,Z2, Undefined codes
G9508,Documentation that the patient is not on a statin medication,Doc pt not on statin,Z2, Undefined codes
G9509,Adult patients 18 years of age or older with major depression or dysthymia who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) phq-9 or phq-9m score of less than 5,Adit mdd dys rem 12 mnths,Z2, Undefined codes
G9510,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at twelve months as demonstrated by a twelve  month (+/-60 days) phq-9 or phq-9m score of less than 5. either phq- 9 or phq-9m score was not assessed or is greater than or equal to 5,Remis12m not phq-9 score <5,Z2, Undefined codes
G9511,Index event date phq-9 or phq-9m score greater than 9 documented during the twelve month denominator identification period,Idx evt dte phq>9 doc 12 mo,Z2, Undefined codes
G9512,Individual had a pdc of 0.8 or greater,Indiv pdc > 0.8,Z2, Undefined codes
G9513,Individual did not have a pdc of 0.8 or greater,Indiv pdc not > 0.8,Z2, Undefined codes
G9514,Patient required a return to the operating room within 90 days of surgery,Req ret or w/in 90d of surg,Z2, Undefined codes
G9515,Patient did not require a return to the operating room within 90 days of surgery,"No reas, no ret or w/in 90d",Z2, Undefined codes
G9516,"Patient achieved an improvement in visual acuity, from their preoperative level, within 90 days of surgery",Impr vis acuit w/in 90d,Z2, Undefined codes
G9517,"Patient did not achieve an improvement in visual acuity, from their preoperative level, within 90 days of surgery, reason not given",No impr vis acuit w/in 90d,Z2, Undefined codes
G9518,Documentation of active injection drug use,Doc active inj drug use,Z2, Undefined codes
G9519,Patient achieves final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery,Final ref +/- 1.0 w/in 90d,Z2, Undefined codes
G9520,Patient does not achieve final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery,Refract not +/- 1.0 w/in 90d,Z2, Undefined codes
G9521,Total number of emergency department visits and inpatient hospitalizations less than two in the past 12 months,Er and ip hosp <2 in 12 mos,Z2, Undefined codes
G9522,"Total number of emergency department visits and inpatient hospitalizations equal to or greater than two in the past 12 months or patient not screened, reason not given",Er/ip hosp =/>2 in 12 mos,Z2, Undefined codes
G9523,Patient discontinued from hemodialysis or peritoneal dialysis,D/c hemo or perit dialysis,Z2, Undefined codes
G9524,Patient was referred to hospice care,Refer to hospice,Z2, Undefined codes
G9525,"Documentation of patient reason(s) for not referring to hospice care (e.g., patient declined, other patient reasons)",Doc pt reas no hospice refer,Z2, Undefined codes
G9526,"Patient was not referred to hospice care, reason not given","No reason, no refer hospice",Z2, Undefined codes
G9529,Patient with minor blunt head trauma had an appropriate indication(s) for a head ct,Minor blunt trauma w/head ct,Z2, Undefined codes
G9530,Patient presented with a minor blunt head trauma  and had a head ct ordered for trauma by an emergency care provider,Pt mbht hd ct ord ec prov,Z2, Undefined codes
G9531,"Patient has documentation of ventricular shunt, brain tumor, multisystem trauma, or is currently taking an antiplatelet medication including: abciximab, anagrelide, cangrelor, cilostazol, clopidogrel, dipyridamole, eptifibatide, prasugrel, ticlopidine, ticagrelor, tirofiban, or vorapaxar",Pt doc,Z2, Undefined codes
G9532,Patient had a head ct for trauma ordered by someone other than an emergency care provider  or was ordered for a reason other than trauma,Pt hd ct ord,Z2, Undefined codes
G9533,Patient with minor blunt head trauma did not have an appropriate indication(s) for a head ct,Indic for head ct not valid,Z2, Undefined codes
G9534,"Advanced brain imaging (cta, ct, mra or mri) was not ordered",Adv brain image not ordered,Z2, Undefined codes
G9535,Patients with a normal neurological examination,Normal neuro exam,Z2, Undefined codes
G9536,"Documentation of medical reason(s) for ordering an advanced brain imaging study (i.e., patient has an abnormal neurological examination; patient has the coexistence of seizures, or both; recent onset of severe headache; change in the type of headache; signs of increased intracranial pressure (e.g., papilledema, absent venous pulsations on funduscopic examination, altered mental status, focal neurologic deficits, signs of meningeal irritation); hiv-positive patients with a new type of headache; immunocompromised patient with unexplained headache symptoms; patient on coagulopathy/anti-coagulation or anti-platelet therapy; very young patients with unexplained headache symptoms)",Doc med reas adv brain image,Z2, Undefined codes
G9537,"Documentation of system reason(s) for obtaining imaging of the head (ct or mri) (i.e., needed as part of a clinical trial; other clinician ordered the study)",Doc sysm rsn img hd,Z2, Undefined codes
G9538,"Advanced brain imaging (cta, ct, mra or mri) was ordered",Adv brain image ordered,Z2, Undefined codes
G9539,Intent for potential removal at time of placement,Intent pot remv time placemt,Z2, Undefined codes
G9540,Patient alive 3 months post procedure,Pt alive 3 mos post proc,Z2, Undefined codes
G9541,Filter removed within 3 months of placement,Filter rem 3 mon plmt,Z2, Undefined codes
G9542,Documented re-assessment for the appropriateness of filter removal within 3 months of placement,Doc reass appr remo filt 3ms,Z2, Undefined codes
G9543,Documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement,Doc 2x re-assess filt remov,Z2, Undefined codes
G9544,"Patients that do not have the filter removed, documented re-assessment for the appropriateness of filter removal, or documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement",No filt remov w/in 3mos plcm,Z2, Undefined codes
G9547,"Cystic renal lesion that is simple appearing (bosniak i or ii) , or adrenal lesion  less than or equal to 1.0 cm or adrenal lesion greater than 1.0 cm but less than or equal to 4.0 cm classified as likely benign by unenhanced ct or washout protocol ct, or mri with in- and opposed-phase sequences or other equivalent institutional imaging protocols",Cys ren les or adren,Z2, Undefined codes
G9548,Final reports for imaging studies stating no  follow-up imaging is recommended,No f/u rec image study,Z2, Undefined codes
G9549,"Documentation of medical reason(s) that follow-up imaging is indicated (e.g., patient has lymphadenopathy, signs of metastasis or an active diagnosis or history of cancer, and other medical reason(s))",Doc med rsn for f/u imag,Z2, Undefined codes
G9550,Final reports for imaging studies with follow-up imaging recommended,Imag rec,Z2, Undefined codes
G9551,Final reports for imaging studies without an incidentally found lesion noted,Imag no les,Z2, Undefined codes
G9552,Incidental thyroid nodule < 1.0 cm noted in report,Inc thyr node <1.0 in rpt,Z2, Undefined codes
G9553,Prior thyroid disease diagnosis,Prior thyroid dise dx,Z2, Undefined codes
G9554,"Final reports for ct, cta, mri or mra of the chest or neck or ultrasound of the neck with follow-up imaging recommended",Ct/cta/mri/a chst foll rec,Z2, Undefined codes
G9555,"Documentation of medical reason(s) for recommending follow up imaging (e.g., patient has multiple endocrine neoplasia, patient has cervical lymphadenopathy, other medical reason(s))",Doc med rsn for follup image,Z2, Undefined codes
G9556,"Final reports for ct, cta, mri or mra of the chest or neck or ultrasound of the neck with follow-up imaging not recommended",Ct/cta/mri/a no follup imag,Z2, Undefined codes
